split,model,seed,pipeline,CandidateRecall@50,CandidateRecall@100,CandidateRecall@200
test,MetadataSASRec,44,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec+CL4SRec,42,ExactDenseRetriever,0.1932613251652426,0.2886399054221076,0.4095742203593243
test,MetadataSASRec+CL4SRec,42,HybridRRF,0.1926737958335572,0.276740645207516,0.3767298977197413
test,MetadataSASRec+CL4SRec,42,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec+CL4SRec,43,ExactDenseRetriever,0.1565514894226808,0.2422071757393376,0.3552725383774876
test,MetadataSASRec+CL4SRec,43,HybridRRF,0.170750712021065,0.2486162609490031,0.3431386246798144
test,MetadataSASRec+CL4SRec,43,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec+CL4SRec,44,ExactDenseRetriever,0.1591076002651047,0.2439661812384688,0.3572894835832124
test,MetadataSASRec+CL4SRec,44,HybridRRF,0.1725688287029573,0.2499167069697458,0.3436204703817149
test,MetadataSASRec+CL4SRec,44,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec+SimDCL,42,ExactDenseRetriever,0.1953069303383667,0.2910473426836477,0.4106382216490228
test,MetadataSASRec+SimDCL,42,HybridRRF,0.1939402081430132,0.2784494957636986,0.3781055761549071
test,MetadataSASRec+SimDCL,42,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec+SimDCL,43,ExactDenseRetriever,0.1627957798198004,0.2481308327511777,0.3606749422322532
test,MetadataSASRec+SimDCL,43,HybridRRF,0.1754312429469611,0.2538252100238236,0.3478531893169971
test,MetadataSASRec+SimDCL,43,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
test,MetadataSASRec+SimDCL,44,ExactDenseRetriever,0.1980833646801726,0.2956293549716087,0.4162340802837336
test,MetadataSASRec+SimDCL,44,HybridRRF,0.1953320078098411,0.2807512493954538,0.3820642341519336
test,MetadataSASRec+SimDCL,44,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
valid,GRU4Rec,42,ExactDenseRetriever,0.1333240362300961,0.2063849644385801,0.3042512792456473
valid,GRU4Rec,42,HybridRRF,0.1683723275297954,0.2413510121327197,0.3281215918071065
valid,GRU4Rec,42,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,GRU4Rec,43,ExactDenseRetriever,0.1448452926263244,0.2206488662897764,0.3227811211591342
valid,GRU4Rec,43,HybridRRF,0.1767504478700694,0.2513811562020618,0.3389866872633261
valid,GRU4Rec,43,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,GRU4Rec,44,ExactDenseRetriever,0.146953231994908,0.2241299162903128,0.326735965843873
valid,GRU4Rec,44,HybridRRF,0.1783524102740142,0.2523144423347171,0.3411464758615017
valid,GRU4Rec,44,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataComiRecSA+LabelAware+DivReg,42,ExactDenseRetriever,0.0719542153423658,0.1176047801413874,0.1864069199054556
valid,MetadataComiRecSA+LabelAware+DivReg,42,HybridRRF,0.1315093131943774,0.1879892153602448,0.2576066395620349
valid,MetadataComiRecSA+LabelAware+DivReg,42,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataComiRecSA+LabelAware+DivReg,43,ExactDenseRetriever,0.0729965636476111,0.119133438462116,0.186766288703662
valid,MetadataComiRecSA+LabelAware+DivReg,43,HybridRRF,0.1327483309911784,0.1898700908613051,0.2601401001941664
valid,MetadataComiRecSA+LabelAware+DivReg,43,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataComiRecSA+LabelAware+DivReg,44,ExactDenseRetriever,0.0576170094079533,0.094315536532252,0.1485283758318225
valid,MetadataComiRecSA+LabelAware+DivReg,44,HybridRRF,0.1237247771377079,0.175708099564824,0.2386173062000951
valid,MetadataComiRecSA+LabelAware+DivReg,44,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec,42,ExactDenseRetriever,0.1301004444730509,0.2053050701394923,0.3088962550552999
valid,MetadataSASRec,42,HybridRRF,0.1673407066513622,0.2405983043514019,0.3289529673850467
valid,MetadataSASRec,42,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec,43,ExactDenseRetriever,0.13764003761751,0.2152207883228383,0.3207178794022677
valid,MetadataSASRec,43,HybridRRF,0.1713438247567556,0.2465788447991647,0.3371058117622659
valid,MetadataSASRec,43,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec,44,ExactDenseRetriever,0.1317363770619008,0.205691257504729,0.3083938538995984
valid,MetadataSASRec,44,HybridRRF,0.1676643173601948,0.2411418273098831,0.3288117229320203
valid,MetadataSASRec,44,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec+CL4SRec,42,ExactDenseRetriever,0.2088898185992126,0.3109648605255724,0.4384281459073079
valid,MetadataSASRec+CL4SRec,42,HybridRRF,0.2129072399403555,0.3026814991221389,0.4068019037606782
valid,MetadataSASRec+CL4SRec,42,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec+CL4SRec,43,ExactDenseRetriever,0.1695702235238166,0.2606210464962436,0.3808629857289465
valid,MetadataSASRec+CL4SRec,43,HybridRRF,0.1896019051910018,0.2730988317832201,0.372086162692155
valid,MetadataSASRec+CL4SRec,43,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec+CL4SRec,44,ExactDenseRetriever,0.1724147795334999,0.2655628144476984,0.3847051924321579
valid,MetadataSASRec+CL4SRec,44,HybridRRF,0.1918939987198604,0.2753641067450484,0.3750665994414586
valid,MetadataSASRec+CL4SRec,44,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec+SimDCL,42,ExactDenseRetriever,0.2105096600478443,0.3131747104488713,0.4397994686347919
valid,MetadataSASRec+SimDCL,42,HybridRRF,0.2144645047325831,0.3036916651469478,0.408455715394215
valid,MetadataSASRec+SimDCL,42,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec+SimDCL,43,ExactDenseRetriever,0.176746872061132,0.2673972044325727,0.3863196701673836
valid,MetadataSASRec+SimDCL,43,HybridRRF,0.195063953342845,0.2788880664528333,0.3771191137715129
valid,MetadataSASRec+SimDCL,43,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
valid,MetadataSASRec+SimDCL,44,ExactDenseRetriever,0.2151796665200585,0.3190014911123269,0.4467204468330848
valid,MetadataSASRec+SimDCL,44,HybridRRF,0.2161040131303704,0.3079075438841152,0.4137246698634398
valid,MetadataSASRec+SimDCL,44,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
